Initial Conc. of MB (mg/L),Catalyst dose (mg/L),light intensity(A),Time (min),Final Conc. of MB (mg/L),Removal (%)
5,100,12,0,5.0,0.00
5,100,12,15,1.6,68.00
5,100,12,30,1.3,74.00
5,100,12,45,0.9,82.00
5,100,12,60,0.6,88.00
5,100,12,75,0.4,92.00
5,100,12,90,0.3,94.00
5,250,12,0,5.0,0.00
5,250,12,15,1.1,78.00
5,250,12,30,0.7,86.00
5,250,12,45,0.6,88.00
5,250,12,60,0.4,92.00
5,250,12,75,0.3,94.00
5,250,12,90,0.2,96.00
5,400,12,0,5.0,0.00
5,400,12,15,0.9,82.00
5,400,12,30,0.7,86.00
5,400,12,45,0.6,88.00
5,400,12,60,0.5,90.00
5,400,12,75,0.4,92.00
5,400,12,90,0.3,94.00
,,12,,,Removal (%)
10,100,12,0,10.0,0.00
10,100,12,15,5.8,42.00
10,100,12,30,5.0,50.00
10,100,12,45,3.9,61.00
10,100,12,60,3.0,70.00
10,100,12,75,2.2,78.00
10,100,12,90,1.6,84.00
10,250,12,0,10.0,0.00
10,250,12,15,4.4,56.00
10,250,12,30,3.8,62.00
10,250,12,45,2.7,73.00
10,250,12,60,2.1,79.00
10,250,12,75,1.6,84.00
10,250,12,90,1.2,88.00
10,400,12,0,10.0,0.00
10,400,12,15,3.3,67.00
10,400,12,30,2.8,72.00
10,400,12,45,2.2,78.00
10,400,12,60,1.8,82.00
10,400,12,75,1.5,85.00
10,400,12,90,1.2,88.00
,,12,,,Removal (%)
15,100,12,0,15.0,0.00
15,100,12,15,10.3,31.33
15,100,12,30,9.1,39.33
15,100,12,45,7.5,50.00
15,100,12,60,6.3,58.00
15,100,12,75,4.9,67.33
15,100,12,90,3.9,74.00
15,250,12,0,15.0,0.00
15,250,12,15,9.4,37.33
15,250,12,30,8.1,46.00
15,250,12,45,6.9,54.00
15,250,12,60,5.7,62.00
15,250,12,75,4.9,67.33
15,250,12,90,3.9,74.00
15,400,12,0,15.0,0.00
15,400,12,15,8.0,46.67
15,400,12,30,6.9,54.00
15,400,12,45,5.8,61.33
15,400,12,60,5.0,66.67
15,400,12,75,4.1,72.67
15,400,4,90,3.4,77.33
