Initial Conc. of MB (mg/L),Catalyst dose (mg/L),light intensity(A),Time (min),Final Conc. of MB (mg/L),Removal (%),,,,,,,,
5,100,16,0,5.0,0.00,,,,,,,,
5,100,16,15,1.7,66.00,,,,,,,,
5,100,16,30,1.0,80.00,,,,,,,,
5,100,16,45,0.6,88.00,,,,,,,,
5,100,16,60,0.5,90.00,,,,,,,,
5,100,16,75,0.4,92.00,,,,,,,,
5,100,16,90,0.2,96.00,,,,,,,,
5,250,16,0,5.0,0.00,,,,,,,,
5,250,16,15,1.2,76.00,,,,,,,,
5,250,16,30,0.9,82.00,,,,,,,,
5,250,16,45,0.6,88.00,,,,,,,,
5,250,16,60,0.5,90.00,,,,,,,,
5,250,16,75,0.3,94.00,,,,,,,,
5,250,16,90,0.2,96.00,,,,,,,,
5,400,16,0,5.0,0.00,,,,,,,,
5,400,16,15,1.3,74.00,,,,,,,,
5,400,16,30,0.9,82.00,,,,,,,,
5,400,16,45,0.7,86.00,,,,,,,,
5,400,16,60,0.3,95.00,,,,,,,,
5,400,16,75,0.5,90.00,,,,,,,,
5,400,16,90,0.3,94.00,,,,,,,,
,,16,,,#DIV/0!,,,,,,,,
10,100,16,0,10.0,0.00,,,,,,,,
10,100,16,15,5.7,43.00,,,,,,,,
10,100,16,30,4.0,60.00,,,,,,,,
10,100,16,45,3.0,70.00,,,,,,,,
10,100,16,60,1.9,81.00,,,,,,,,
10,100,16,75,1.3,87.00,,,,,,,,
10,100,16,90,0.8,92.00,,,,,,,,
10,250,16,0,10.0,0.00,,,,,,,,
10,250,16,15,4.5,55.00,,,,,,,,
10,250,16,30,3.2,68.00,,,,,,,,
10,250,16,45,2.2,78.00,,,,,,,,
10,250,16,60,1.2,88.00,,,,,,,,
10,250,16,75,1.1,89.00,,,,,,,,
10,250,16,90,0.7,93.00,,,,,,,,
10,400,16,0,10.0,0.00,,,,,,,,
10,400,16,15,3.4,66.00,,,,,,,,
10,400,16,30,2.6,74.00,,,,,,,,
10,400,16,45,1.9,81.00,,,,,,,,
10,400,16,60,1.3,87.00,,,,,,,,
10,400,16,75,1.0,90.00,,,,,,,,
10,400,16,90,0.9,91.00,,,,,,,,
,,16,,,#DIV/0!,,,,,,,,
15,100,16,0,15.0,0.00,,,,,,,,
15,100,16,15,10.6,29.33,,,,,,,,
15,100,16,30,8.4,44.00,,,,,,,,
15,100,16,45,6.3,58.00,,,,,,,,
15,100,16,60,4.5,70.00,,,,,,,,
15,100,16,75,3.2,78.67,,,,,,,,
15,100,16,90,2.3,84.67,,,,,,,,
15,250,16,0,15.0,0.00,,,,,,,,
15,250,16,15,8.9,40.67,,,,,,,,
15,250,16,30,6.9,54.00,,,,,,,,
15,250,16,45,5.2,65.33,,,,,,,,
15,250,16,60,3.8,74.67,,,,,,,,
15,250,16,75,2.8,81.33,,,,,,,,
15,250,16,90,2.1,86.00,,,,,,,,
15,400,16,0,15.0,0.00,,,,,,,,
15,400,16,15,7.3,51.33,,,,,,,,
15,400,16,30,6.1,59.33,,,,,,,,
15,400,16,45,4.5,70.00,,,,,,,,
15,400,16,60,3.5,77.00,,,,,,,,
15,400,16,75,2.6,82.67,,,,,,,,
15,400,16,90,2.0,86.67,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
